,FIPS,State,County,total_votes,GOP,DEM,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Unemployed
380,13173,GA,Lanier,3576,2509,1019,320,7,10388,5208,5180,571,7137,2504,0,31,0,7647,31109,2981,3386,3033,1693,3283,1163,1215,9328,229,10,384,177,270,24.1,3551,7313,2088,987,0,10.6,110113
381,12069,FL,Lake,211702,125853,83491,8729,227,326215,157897,168318,46975,231939,32295,979,6198,0,252229,49734,41756,65243,104389,69810,90688,30990,30664,265865,32622,979,2610,4241,19899,28.8,131532,270106,38493,17289,326,7.2,2348748
382,45057,SC,Lancaster,49868,30312,18937,2658,62,86544,42328,44216,4327,60667,18780,173,865,87,66067,50557,13414,19992,27348,13587,22415,9087,14020,73303,7443,260,692,865,3894,29.1,36001,73216,9779,3375,173,7.7,666389
383,26115,MI,Monroe,87148,52710,32975,2206,42,149619,73905,75714,5237,136901,3441,449,898,0,115179,59479,16757,22144,45335,26034,31719,15411,30971,129121,10324,1646,1646,1646,5237,24.5,69205,130617,13017,5835,150,5.9,882752
384,29009,MO,Barry,15598,12425,2948,912,9,35398,17782,17616,3186,30619,106,212,531,0,25988,40638,7257,11469,8743,5522,7115,4637,9380,28248,4106,142,779,460,1664,23.4,14330,28460,3717,3186,0,8,283184
385,31051,NE,Dixon,3083,2335,651,170,2,5765,2905,2860,726,4935,17,29,6,6,4079,57036,594,940,1689,969,1101,940,1067,4693,502,0,271,23,282,21,2955,4255,1003,496,12,3.3,19025
386,18039,IN,Elkhart,73225,46311,25413,10310,151,202924,100359,102565,31250,152802,10958,203,2029,0,135371,52449,28004,39164,51746,28815,43832,14813,63921,157469,28409,812,3450,5479,7102,19.4,94516,176747,15828,9943,406,5.6,1136374
387,47033,TN,Crockett,6114,4673,1382,929,23,14554,6915,7639,1470,10872,1921,29,29,0,10593,39692,2576,3508,4366,2154,3522,1776,2751,13215,873,0,131,58,277,23.2,6048,11556,2052,931,15,5.9,85869
388,27103,MN,Nicollet,19124,9018,9622,802,18,33477,16748,16729,1440,29995,1004,33,536,0,25333,62593,3783,3348,12822,5959,7633,2712,4352,25677,2611,167,1306,335,3348,17.9,18581,26748,4787,1908,67,3.8,127213
389,51149,VA,Prince George,17401,10103,7103,1124,7,37704,20643,17061,2866,20963,11764,189,792,38,28884,68461,4638,7465,13460,6297,9351,3506,5052,31445,3280,151,566,1093,1169,25.7,14926,24583,10821,2300,0,8.5,320484
390,31091,NE,Hooker,442,376,59,25,1,684,315,369,20,658,6,0,0,0,578,41607,119,166,265,157,119,75,68,449,34,7,89,41,64,11.7,304,349,200,135,0,1,684
391,29125,MO,Maries,4774,3890,814,222,0,8959,4496,4463,224,8583,36,81,18,0,7073,41715,1693,2930,2204,1532,1756,1209,2258,6433,1407,9,224,188,699,31,3705,6630,1613,717,0,7.7,68984
392,16077,ID,Power,3086,2116,865,376,2,7667,3951,3716,2522,4792,23,261,0,0,4857,47602,889,1434,1955,1020,1480,1319,1901,6118,621,46,268,23,590,18.2,2993,5129,1894,606,46,10.2,78203
393,17045,IL,Edgar,8152,6169,1869,175,11,17603,8643,8960,194,17110,106,35,70,0,13800,47873,2711,4101,4964,3063,3450,1619,4506,14628,1778,53,246,70,827,19.4,8052,13924,2359,1285,35,7.4,130262
394,26007,MI,Alpena,16966,10686,6000,180,14,28730,14169,14561,373,27581,144,115,115,29,23062,40954,4310,5487,8475,5689,7499,2873,4195,23817,2413,201,776,345,1120,16.9,12665,23846,2988,1839,57,6.4,183872
395,16025,ID,Camas,754,507,149,41,0,886,443,443,82,801,0,0,0,0,621,36667,198,323,276,146,164,238,61,706,58,0,18,27,76,29.2,394,509,214,158,7,4.4,3898
396,17191,IL,Wayne,8446,7172,1185,546,18,16569,8209,8360,232,15973,99,33,66,0,12757,46405,2618,4291,4242,2784,3430,2005,4109,13520,1475,133,398,116,928,23.9,7347,13205,1905,1408,33,4.8,79531
397,23015,ME,Lincoln,2596,1723,813,65,1,34021,16599,17422,374,32728,102,170,306,0,27877,54041,4014,5511,11737,6702,6498,5307,3742,26128,3538,204,1123,612,2381,24.8,16588,24971,4253,4797,34,3.4,115671
398,21175,KY,Morgan,5535,4297,1172,152,0,13281,7397,5884,159,12378,438,13,93,0,10736,33523,3400,4967,4091,2244,2444,2005,2497,11568,1235,0,40,146,292,35.2,3662,8726,3785,770,0,8.1,107576
399,42127,PA,Wayne,28077,18630,9186,294,12,51656,27404,24252,2170,47007,1601,103,310,0,42291,52161,5734,7697,15445,10125,11571,6922,7593,42513,3719,568,1136,517,3203,29.6,21209,39723,6819,4959,155,6.5,335764
400,21059,KY,Daviess,49240,31023,17283,2111,32,99258,48300,50958,2878,88240,4367,199,1290,0,73475,48371,15683,22135,29678,17866,23623,8933,19157,86156,7841,496,2084,1092,1489,19.2,44736,82781,11613,4665,199,6,595548
401,40121,OK,Pittsburg,17924,13851,3768,1303,21,44673,22664,22009,2144,31271,1430,3216,179,0,34301,44941,7639,10096,13000,8443,10453,5942,6835,37302,5227,89,715,447,893,20.9,18265,30601,11570,2457,45,6.3,281440
